CrochetCrochetCrochet (C3) — ISO 27001:2022 / NIST 800-53 Control Matrix,,,,,,,,,,,,,,,,,,,,,,,,,
Framework Mapping,,,,,Control Detail,,Assessment,,,,,Remediation,,,,,,,,,,,,,
C3 Control ID,"ISO 27001:2022
 Annex A","ISO 27001
 Control Name","NIST 800-53
 Ref","NIST 800-53
 Control Name",Control Domain,Requirement Summary,"Applicability
 (Y / N)",Current Status,"Maturity
 (1–5)",Control Owner,Evidence / Current State,Gap Description,Remediation Action,Priority,,,,,,,,,,,
e.g. C3-CTL-001,e.g. A.5.15,e.g. Access Control Policy,e.g. AC-1,e.g. Access Control Policy and Procedures,e.g. Access Control,Describe what the control requires in plain language.,Y or N,Implemented / Partial / Missing,1 = None → 5 = Optimised,Name of person responsible,What evidence did you find? What is currently in place?,What is the specific gap you identified?,What concrete steps would close the gap?,High / Medium / Low,,,,,,,,,,,
C3-CTL-001,A.5.15,Access Control Policy,AC-1,Access Control Policy and Procedures,Access Control,"Policies defining how access to information and systems is granted, reviewed, and revoked must be documented and communicated to all relevant staff.",Y,Partial,2,Devon Nakamura,"Role-based access control in implemented and operationally enforced through Microsoft Entra ID Conditional Access rules, [C3-013]. This governs authentication and device compliance requirements for all SaaS and cloud environment access. 1Password Teams  [C3-020) vaults are segmented by department, with credential access limited by function. Employee system access is provisioned per role. Devon Nakamura is noted as responsible for quartly access reviews on privleged accounts. No formal policy is identified or referenced.","The control is operationally practiced, but not formally documented or communicated as a policy artifact. ",,,,,,,,,,,,,
C3-CTL-002,A.5.16,Identity Management,IA-4,Identifier Management,Access Control,"All user and system identities must be uniquely identified, managed throughout their lifecycle, and deprovisioned upon departure or role change.",Y,,,Iris Cohen,"Microsoft Entra ID [C3-013] serves as the primary identity provider for C3, issuing and managing identities across all SSO-connected SaaS platforms including Microsoft 365, GitHub, 1Password, and Rippling. Each employee holds a unique Employee ID (EMP-001 through EMP-016) with a corresponding Entra ID identity. Iris Cohen (People & Operations Coordinator) administers Rippling [C3-024], which manages the employee lifecycle including onboarding and offboarding workflows. Iris is noted as responsible for onboarding/offboarding access provisioning. No formal identity lifecycle management procedure was identified.","The process appears to be operationally managed through Rippling and Entra ID but without a documented runbook defining steps, timelines, or verification requirements for provisioning and deprovisioning.",,,,,,,,,,,,,
C3-CTL-003,A.5.17,Authentication Information,IA-5,Authenticator Management,Access Control,"Authentication credentials must be managed securely including password complexity, MFA enforcement, and secure storage.",Y,,,Devon Nakamura,"All 16 employees are enrolled in MFA, enforced by Entra ID Conditional Access [C",,,,,,,,,,,,,,
C3-CTL-004,A.5.18,Access Rights,AC-2,Account Management,Access Control,"Access rights must be provisioned on a need-to-know and least privilege basis, reviewed periodically, and adjusted when roles change.",Y,,,Devon Nakamura,,,,,,,,,,,,,,,
C3-CTL-005,A.8.3,Information Access Restriction,AC-3,Access Enforcement,Access Control,Access to information and system functions must be restricted in accordance with the access control policy.,Y,,,Devon Nakamura,,,,,,,,,,,,,,,
C3-CTL-006,A.8.5,Secure Authentication,IA-2,Identification and Authentication,Access Control,All users accessing systems must be authenticated using secure mechanisms. Privileged access must require stronger authentication.,Y,,,Devon Nakamura,,,,,,,,,,,,,,,
C3-CTL-007,A.5.1,Policies for Information Security,PL-1,Planning Policy and Procedures,Governance,"An information security policy must be defined, approved by management, published, and communicated to all staff.",Y,,,Penny Walsh,,,,,,,,,,,,,,,
C3-CTL-008,A.5.31,"Legal, Statutory, Regulatory and Contractual Requirements",PL-4,Rules of Behavior,Compliance,"All applicable legal, regulatory, and contractual obligations related to information security must be identified, documented, and kept up to date.",Y,,,Marcus Okafor,,,,,,,,,,,,,,,
C3-CTL-009,A.5.34,Privacy and Protection of PII,PT-1,Privacy Policy and Procedures,Privacy,"PII must be identified, classified, and protected in accordance with applicable privacy laws and organizational policy.",Y,,,Marcus Okafor,,,,,,,,,,,,,,,
C3-CTL-010,A.5.9,Inventory of Information and Other Associated Assets,CM-8,System Component Inventory,Asset Management,An inventory of assets associated with information and information processing must be maintained and kept up to date.,Y,,,Jordan Ellis,,,,,,,,,,,,,,,
C3-CTL-011,A.5.12,Classification of Information,RA-2,Security Categorization,Asset Management,Information must be classified according to its sensitivity and labeled consistently across all systems and storage locations.,Y,,,Marcus Okafor,,,,,,,,,,,,,,,
C3-CTL-012,A.6.3,"Information Security Awareness, Education and Training",AT-2,Literacy Training and Awareness,People,All staff must receive regular information security awareness training appropriate to their role.,Y,,,Iris Cohen,,,,,,,,,,,,,,,
C3-CTL-013,A.6.5,Responsibilities After Termination or Change of Employment,PS-4,Personnel Termination,People,Information security responsibilities that remain valid after employment ends must be defined and enforced. Access must be revoked promptly upon departure.,Y,,,Iris Cohen,,,,,,,,,,,,,,,
