Asset ID,Host Name,Friendly Name,Asset Type,Asset Category,Description,Business Owner,Technical Owner,Department,Custodian,Environment,Location,Region/AZ,Physical Location,Operating System,OS Version,IP Address,Hostname / URL,Patch Status,End of Life (Y/N),Data Classification,Data Types Stored,Contains PII (Y/N),Contains PCI Data (Y/N),Sensitivity Score (1-5),In Scope ISO 27001 (Y/N),Compliance Tags,Risk Rating,Last Risk Review Date,Status,Date Added,Last Updated,Decommission Date,Notes,Related Controls
C3-001,c3-webapp-prod-01,Production Web App,Server,Cloud Infrastructure,Primary EC2 instance hosting the CrochetCrochetCrochet web application,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS EC2,us-east-1a,N/A (Cloud),Amazon Linux 2,2.0.20240131,10.0.1.10,app.crochetcrochetcrochet.com,Current,No,Confidential,"Customer PII, Session Data",Yes,No,4,Yes,"ISO 27001, SOC 2",,,Active,2023-06-01,2025-01-15,N/A,Hosts main customer-facing application. Behind ALB.,"A.12.6.1, A.13.1.1"
C3-002,c3-rds-prod-01,Production Customer Database,Database,Cloud Infrastructure,AWS RDS PostgreSQL instance storing all customer and pattern data,Devon Nakamura,DBA / Cloud Ops,Engineering,Cloud Ops Team,Production,AWS RDS,us-east-1a,N/A (Cloud),Amazon RDS (PostgreSQL),15.4,10.0.2.5,c3-rds-prod.cluster-xyz.us-east-1.rds.amazonaws.com,Current,No,Restricted,"Customer PII, Payment Tokens, Pattern Metadata",Yes,Yes,5,Yes,"ISO 27001, PCI DSS",,,Active,2023-06-01,2025-01-15,N/A,Encrypted at rest with KMS. Multi-AZ enabled. Tokenized PCI data via Stripe.,"A.10.1.1, A.12.3.1"
C3-003,c3-s3-patterns-prod,Pattern Library Bucket,Storage,Cloud Infrastructure,S3 bucket storing all crochet pattern PDFs and media assets,Camille Fontaine,Cloud Ops Team,Product,Cloud Ops Team,Production,AWS S3,us-east-1,N/A (Cloud),N/A,N/A,N/A,s3://c3-patterns-prod,Current,No,Internal,"Pattern Files, Instructional Media",No,No,2,Yes,ISO 27001,,,Active,2023-06-01,2025-01-15,N/A,Public read blocked at bucket policy level. Versioning enabled.,A.13.2.1
C3-004,c3-s3-uploads-prod,Customer Uploads Bucket,Storage,Cloud Infrastructure,S3 bucket for user-uploaded profile images and project photos,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS S3,us-east-1,N/A (Cloud),N/A,N/A,N/A,s3://c3-customer-uploads-prod,Current,No,Confidential,"Customer-Uploaded Media, Profile Images",Yes,No,3,Yes,ISO 27001,,,Active,2023-08-01,2025-01-15,N/A,Pre-signed URLs used for access. No public access.,"A.13.2.1, A.18.1.4"
C3-005,c3-alb-prod,Production Load Balancer,Network Device,Cloud Infrastructure,AWS Application Load Balancer routing HTTPS traffic to EC2 instances,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS ALB,us-east-1,N/A (Cloud),N/A,N/A,N/A,alb.crochetcrochetcrochet.com,Current,No,Internal,Network Traffic,No,No,2,Yes,ISO 27001,,,Active,2023-06-01,2025-01-15,N/A,SSL termination at ALB. HTTPS only enforced.,"A.13.1.1, A.14.1.2"
C3-006,c3-cloudfront-prod,CloudFront CDN,Network Device,Cloud Infrastructure,AWS CloudFront distribution serving static assets and pattern files globally,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS CloudFront,Global,N/A (Cloud),N/A,N/A,N/A,cdn.crochetcrochetcrochet.com,Current,No,Internal,"Static Assets, Pattern Files",No,No,2,Yes,ISO 27001,,,Active,2023-07-01,2025-01-15,N/A,WAF attached. Geo-restriction not currently enabled.,A.13.1.1
C3-007,c3-admin-prod-01,Admin Portal Server,Server,Cloud Infrastructure,EC2 instance hosting the internal admin dashboard for C3 staff,Devon Nakamura,Cloud Ops Team,Engineering,Cloud Ops Team,Production,AWS EC2,us-east-1b,N/A (Cloud),Amazon Linux 2,2.0.20240131,10.0.1.20,admin.internal.crochetcrochetcrochet.com,Current,No,Restricted,"Customer PII, Admin Credentials, All Platform Data",Yes,Yes,5,Yes,ISO 27001,,,Active,2023-06-15,2025-01-15,N/A,VPN-only access. MFA enforced. Not publicly accessible.,"A.9.2.3, A.9.4.1"
C3-008,github-c3-platform,Source Code Repository,SaaS Tool,Development,GitHub organization hosting all application and infrastructure source code,Devon Nakamura,Engineering Team,Engineering,Engineering Team,Corporate,SaaS (GitHub),N/A,N/A,N/A,N/A,N/A,github.com/crochetcrochetcrochet,Current,No,Confidential,"Source Code, Infrastructure-as-Code, Secrets (if misconfigured)",No,No,4,Yes,ISO 27001,,,Active,2023-05-01,2025-01-15,N/A,Private repos only. Branch protection enabled. Secret scanning active. SSO enforced.,"A.12.1.2, A.14.2.6"
C3-009,github-actions-c3,CI/CD Pipeline,SaaS Tool,Development,GitHub Actions pipelines for automated testing and deployment to AWS,Devon Nakamura,Engineering Team,Engineering,Engineering Team,Corporate,SaaS (GitHub Actions),N/A,N/A,N/A,N/A,N/A,N/A,Current,No,Confidential,"Deployment Secrets, AWS Credentials (via OIDC)",No,No,4,Yes,ISO 27001,,,Active,2023-06-01,2025-01-15,N/A,"AWS credentials passed via OIDC, not static keys. Pipeline logs reviewed quarterly.","A.12.1.2, A.9.2.3"
C3-010,m365-c3-tenant,Microsoft 365 E3,SaaS Tool,Productivity,"Microsoft 365 E3 tenant providing email (Outlook), Teams, OneDrive, SharePoint, and Intune MDM for all staff",Penny Walsh,IT Admin (Jordan Ellis),All Departments,IT Admin,Corporate,SaaS (Microsoft 365),N/A,N/A,N/A,N/A,N/A,crochetcrochetcrochet.onmicrosoft.com,Current,No,Confidential,"Employee Email, Internal Docs, HR Comms, Calendar Data",Yes,No,3,Yes,ISO 27001,,,Active,2025-01-01,2025-01-15,N/A,MFA enforced via Entra ID Conditional Access. Global admin accounts use hardware keys. Intune MDM manages all enrolled endpoints.,"A.9.4.2, A.6.2.2, A.18.1.4"
